1-я (1929)`• Джанет Гейнор`«Седьмое небо»`                Дайана` 
1-я (1929)`• Джанет Гейнор`«Уличный ангел»`                Анджела` 
1-я (1929)`• Джанет Гейнор`«Восход солнца»`                жена` 
1-я (1929)`• Луиза Дрессер`«Корабль приплывает»`                миссис Плезник` 
1-я (1929)`• Глория Свенсон`«Сэди Томпсон»`                Сэди Томпсон` 
2-я (1930-I)`• Мэри Пикфорд`«Кокетка»`                Норма Безант` 
2-я (1930-I)`• Рут Чаттертон`«Мадам Икс»`                Жаклин Флорио` 
2-я (1930-I)`• Бетти Компсон`«Зазывала»`                Кэрри` 
2-я (1930-I)`• Джинн Иглс (посмертно)`«Письмо»`                Лесли Кросби` 
2-я (1930-I)`• Коринна Гриффит`«Божественная леди»`                леди Эмма Гамильтон` 
2-я (1930-I)`• Бесси Лав`«Бродвейская мелодия»`                Хэнк Махони` 
3-я (1930-II)`• Норма Ширер`«Развод»`                Джерри Бернард Мартин` 
3-я (1930-II)`• Нэнси Кэрролл`«Торжество дьявола»`                Хэлли Хобарт` 
3-я (1930-II)`• Рут Чаттертон`«Сара и сын»`                Сара Сторм` 
3-я (1930-II)`• Грета Гарбо`«Анна Кристи»`                Анна Кристи` 
3-я (1930-II)`• Грета Гарбо`«Роман»`                Рита Каваллини` 
3-я (1930-II)`• Норма Ширер`«Их собственное желание»`                Люсия «Лалли» Марлетт` 
3-я (1930-II)`• Глория Свенсон`«Правонарушительница»`                Марион Доннелл` 
4-я (1931)`• Мари Дресслер`«Мин и Билл»`                Мин Дивот` 
4-я (1931)`• Марлен Дитрих`«Марокко»`                мадемуазель Эми Джолли` 
4-я (1931)`• Айрин Данн`«Симаррон»`                Сабра Крават` 
4-я (1931)`• Энн Хардинг`«Праздник»`                Линда Сетон` 
4-я (1931)`• Норма Ширер`«Вольная душа»`                Джен Эш` 
5-я (1932)`• Хелен Хейс`«Грех Мадлон Клоде»`                Мадлон Клоде` 
